NAME                                                                                                                  VERSION                                    TYPE         
libpcsclite1                                                                                                          1.8.26-3                                   deb           
libperl5.30                                                                                                           5.30.0-9ubuntu0.2                          deb           
libpng16-16                                                                                                           1.6.37-2                                   deb           
libpolkit-agent-1-0                                                                                                   0.105-26ubuntu1.3                          deb           
libpolkit-gobject-1-0                                                                                                 0.105-26ubuntu1.3                          deb           
libprocps8                                                                                                            2:3.3.16-1ubuntu2.3                        deb           
libproxy1v5                                                                                                           0.4.15-10ubuntu1.2                         deb           
libpsl5                                                                                                               0.21.0-1ubuntu1                            deb           
libpython2-dev                                                                                                        2.7.17-2ubuntu4                            deb           
libpython2-stdlib                                                                                                     2.7.17-2ubuntu4                            deb           
libpython2.7                                                                                                          2.7.18-1~20.04.1                           deb           
libpython2.7-dev                                                                                                      2.7.18-1~20.04.1                           deb           
libpython2.7-minimal                                                                                                  2.7.18-1~20.04.1                           deb           
libpython2.7-stdlib                                                                                                   2.7.18-1~20.04.1                           deb           
libpython3-dev                                                                                                        3.8.2-0ubuntu2                             deb           
libpython3-stdlib                                                                                                     3.8.2-0ubuntu2                             deb           
libpython3.8                                                                                                          3.8.10-0ubuntu1~20.04.4                    deb           
libpython3.8-dev                                                                                                      3.8.10-0ubuntu1~20.04.4                    deb           
libpython3.8-minimal                                                                                                  3.8.10-0ubuntu1~20.04.4                    deb           
libpython3.8-stdlib                                                                                                   3.8.10-0ubuntu1~20.04.4                    deb           
libquadmath0                                                                                                          10.3.0-1ubuntu1~20.04                      deb           
libreadline8                                                                                                          8.0-4                                      deb           
libroken18-heimdal                                                                                                    7.7.0+dfsg-1ubuntu1                        deb           
librtmp1                                                                                                              2.4+20151223.gitfa8646d.1-2build1          deb           
libsasl2-2                                                                                                            2.1.27+dfsg-2ubuntu0.1                     deb           
libsasl2-modules-db                                                                                                   2.1.27+dfsg-2ubuntu0.1                     deb           
libseccomp2                                                                                                           2.5.1-1ubuntu1~20.04.2                     deb           
libselinux1                                                                                                           3.0-1build2                                deb           
libsemanage-common                                                                                                    3.0-1build2                                deb           
libsemanage1                                                                                                          3.0-1build2                                deb           
libsensors-config                                                                                                     1:3.6.0-2ubuntu1.1                         deb           
libsensors5                                                                                                           1:3.6.0-2ubuntu1.1                         deb           
libsepol1                                                                                                             3.0-1ubuntu0.1                             deb           
libsm6                                                                                                                2:1.2.3-1                                  deb           
libsmartcols1                                                                                                         2.34-0.1ubuntu9.3                          deb           
libsoup2.4-1                                                                                                          2.70.0-1                                   deb           
libsqlite3-0                                                                                                          3.31.1-4ubuntu0.3                          deb           
libss2                                                                                                                1.45.5-2ubuntu1                            deb           
libssh-4                                                                                                              0.9.3-2ubuntu2.2                           deb           
libssl1.1                                                                                                             1.1.1f-1ubuntu2.13                         deb           
libstdc++-9-dev                                                                                                       9.4.0-1ubuntu1~20.04.1                     deb           
libstdc++6                                                                                                            10.3.0-1ubuntu1~20.04                      deb           
libstemmer0d                                                                                                          0+svn585-2                                 deb           
libsystemd0                                                                                                           245.4-4ubuntu3.17                          deb           
libtasn1-6                                                                                                            4.16.0-2                                   deb           
libtinfo6                                                                                                             6.2-0ubuntu2                               deb           
libtsan0                                                                                                              10.3.0-1ubuntu1~20.04                      deb           
libubsan1                                                                                                             10.3.0-1ubuntu1~20.04                      deb           
libudev1                                                                                                              245.4-4ubuntu3.17                          deb           
libunistring2                                                                                                         0.9.10-2                                   deb           
libuuid1                                                                                                              2.34-0.1ubuntu9.3                          deb           
libvulkan1                                                                                                            1.2.131.2-1                                deb           
libwayland-client0                                                                                                    1.18.0-1                                   deb           
libwind0-heimdal                                                                                                      7.7.0+dfsg-1ubuntu1                        deb           
libx11-6                                                                                                              2:1.6.9-2ubuntu1.2                         deb           
libx11-data                                                                                                           2:1.6.9-2ubuntu1.2                         deb           
libx11-xcb1                                                                                                           2:1.6.9-2ubuntu1.2                         deb           
libxau6                                                                                                               1:1.0.9-0ubuntu1                           deb           
libxaw7                                                                                                               2:1.0.13-1                                 deb           
libxcb-dri2-0                                                                                                         1.14-2                                     deb           
libxcb-dri3-0                                                                                                         1.14-2                                     deb           
libxcb-glx0                                                                                                           1.14-2                                     deb           
libxcb-present0                                                                                                       1.14-2                                     deb           
libxcb-randr0                                                                                                         1.14-2                                     deb           
libxcb-shape0                                                                                                         1.14-2                                     deb           
libxcb-shm0                                                                                                           1.14-2                                     deb           
libxcb-sync1                                                                                                          1.14-2                                     deb           
libxcb-xfixes0                                                                                                        1.14-2                                     deb           
libxcb1                                                                                                               1.14-2                                     deb           
libxcomposite1                                                                                                        1:0.4.5-1                                  deb           
libxdmcp6                                                                                                             1:1.1.3-0ubuntu1                           deb           
libxext6                                                                                                              2:1.3.4-0ubuntu1                           deb           
libxfixes3                                                                                                            1:5.0.3-2                                  deb           
libxft2                                                                                                               2.3.3-0ubuntu1                             deb           
libxi6                                                                                                                2:1.7.10-0ubuntu1                          deb           
libxinerama1                                                                                                          2:1.1.4-2                                  deb           
libxkbfile1                                                                                                           1:1.1.0-1                                  deb           
libxml2                                                                                                               2.9.10+dfsg-5ubuntu0.20.04.3               deb           
libxmlvalidator                                                                                                                                                  java-archive  
libxmu6                                                                                                               2:1.1.3-0ubuntu1                           deb           
libxmuu1                                                                                                              2:1.1.3-0ubuntu1                           deb           
libxpm4                                                                                                               1:3.5.12-1                                 deb           
libxrandr2                                                                                                            2:1.5.2-0ubuntu1                           deb           
libxrender1                                                                                                           1:0.9.10-1                                 deb           
libxshmfence1                                                                                                         1.3-1                                      deb           
libxt6                                                                                                                1:1.1.5-1                                  deb           
libxtst6                                                                                                              2:1.2.3-1                                  deb           
libxv1                                                                                                                2:1.0.11-1                                 deb           
libxxf86dga1                                                                                                          2:1.1.5-0ubuntu1                           deb           
libxxf86vm1                                                                                                           1:1.1.4-1build1                            deb           
libyaml-0-2                                                                                                           0.2.2-1                                    deb           
libzstd1                                                                                                              1.4.4+dfsg-3ubuntu0.1                      deb           
linux-libc-dev                                                                                                        5.4.0-110.124                              deb           
listenablefuture                                                                                                      9999.0-empty-to-avoid-conflict-with-guava  java-archive  
login                                                                                                                 1:4.8.1-1ubuntu5.20.04.1                   deb           
logsave                                                                                                               1.45.5-2ubuntu1                            deb           
lsb-base                                                                                                              11.1.0ubuntu2                              deb           
lsb-release                                                                                                           11.1.0ubuntu2                              deb           
make                                                                                                                  4.2.1-1.2                                  deb           
manpages                                                                                                              5.05-1                                     deb           
manpages-dev                                                                                                          5.05-1                                     deb           
mawk                                                                                                                  1.3.4.20200120-2                           deb           
mesa-vulkan-drivers                                                                                                   21.2.6-0ubuntu0.1~20.04.2                  deb           
mime-support                                                                                                          3.64ubuntu1                                deb           
mount                                                                                                                 2.34-0.1ubuntu9.3                          deb           
ncurses-base                                                                                                          6.2-0ubuntu2                               deb           
ncurses-bin                                                                                                           6.2-0ubuntu2                               deb           
netbase                                                                                                               6.1                                        deb           
netty-buffer                                                                                                          4.1.52.Final                               java-archive  
netty-codec                                                                                                           4.1.52.Final                               java-archive  
netty-codec-http                                                                                                      4.1.52.Final                               java-archive  
netty-codec-http2                                                                                                     4.1.52.Final                               java-archive  
netty-codec-socks                                                                                                     4.1.52.Final                               java-archive  
netty-common                                                                                                          4.1.52.Final                               java-archive  
netty-handler                                                                                                         4.1.52.Final                               java-archive  
netty-handler-proxy                                                                                                   4.1.52.Final                               java-archive  
netty-resolver                                                                                                        4.1.52.Final                               java-archive  
netty-tcnative-boringssl-static                                                                                       2.0.34.Final                               java-archive  
netty-transport                                                                                                       4.1.52.Final                               java-archive  
netty-transport-native-epoll                                                                                          4.1.52.Final                               java-archive  
netty-transport-native-unix-common                                                                                    4.1.52.Final                               java-archive  
networkd-dispatcher                                                                                                   2.1-2~ubuntu20.04.3                        deb           
okhttp                                                                                                                2.7.4                                      java-archive  
okio                                                                                                                  1.17.5                                     java-archive  
openjdk-11-jre                                                                                                        11.0.15+10-0ubuntu0.20.04.1                deb           
openjdk-11-jre-headless                                                                                               11.0.15+10-0ubuntu0.20.04.1                deb           
openssh-client                                                                                                        1:8.2p1-4ubuntu0.5                         deb           
openssl                                                                                                               1.1.1f-1ubuntu2.13                         deb           
org.apache.taglibs.taglibs-standard-impl                                                                              1.2.5                                      java-archive  
org.apache.taglibs.taglibs-standard-spec                                                                              1.2.5                                      java-archive  
org.eclipse.jdt.ecj                                                                                                   3.19.0                                     java-archive  
org.eclipse.jetty.apache-jsp                                                                                          9.4.45.v20220203-nolog                     java-archive  
org.mortbay.jasper.apache-el                                                                                          8.5.70                                     java-archive  
org.mortbay.jasper.apache-jsp                                                                                         8.5.70                                     java-archive  
packagekit                                                                                                            1.1.13-2ubuntu1.1                          deb           
packagekit-tools                                                                                                      1.1.13-2ubuntu1.1                          deb           
paranamer                                                                                                             2.3                                        java-archive  
passwd                                                                                                                1:4.8.1-1ubuntu5.20.04.1                   deb           
patch                                                                                                                 2.7.6-6                                    deb           
perl                                                                                                                  5.30.0-9ubuntu0.2                          deb           
perl-base                                                                                                             5.30.0-9ubuntu0.2                          deb           
perl-modules-5.30                                                                                                     5.30.0-9ubuntu0.2                          deb           
pinentry-curses                                                                                                       1.1.0-3build1                              deb           
policykit-1                                                                                                           0.105-26ubuntu1.3                          deb           
procps                                                                                                                2:3.3.16-1ubuntu2.3                        deb           
proto-google-cloud-pubsub-v1                                                                                          1.96.5                                     java-archive  
proto-google-common-protos                                                                                            2.5.0                                      java-archive  
protobuf-java                                                                                                         3.17.3                                     java-archive  
protobuf-java-util                                                                                                    3.12.0                                     java-archive  
python-apt                                                                                                            2.0.0+ubuntu0.20.4.7                       python        
python-apt-common                                                                                                     2.0.0ubuntu0.20.04.7                       deb           
python-dev-is-python2                                                                                                 2.7.17-4                                   deb           
python-gflags                                                                                                         2.0                                        python        
python-is-python2                                                                                                     2.7.17-4                                   deb           
python-pip-whl                                                                                                        20.0.2-5ubuntu1.6                          deb           
python2                                                                                                               2.7.17-2ubuntu4                            deb           
python2-dev                                                                                                           2.7.17-2ubuntu4                            deb           
python2-minimal                                                                                                       2.7.17-2ubuntu4                            deb           
python2.7                                                                                                             2.7.18-1~20.04.1                           deb           
python2.7-dev                                                                                                         2.7.18-1~20.04.1                           deb           
python2.7-minimal                                                                                                     2.7.18-1~20.04.1                           deb           
python3                                                                                                               3.8.2-0ubuntu2                             deb           
python3-apt                                                                                                           2.0.0ubuntu0.20.04.7                       deb           
python3-certifi                                                                                                       2019.11.28-1                               deb           
python3-chardet                                                                                                       3.0.4-4build1                              deb           
python3-dbus                                                                                                          1.2.16-1build1                             deb           
python3-dev                                                                                                           3.8.2-0ubuntu2                             deb           
python3-distro-info                                                                                                   0.23ubuntu1                                deb           
python3-distutils                                                                                                     3.8.10-0ubuntu1~20.04                      deb           
python3-gi                                                                                                            3.36.0-1                                   deb           
python3-idna                                                                                                          2.8-1                                      deb           
python3-lib2to3                                                                                                       3.8.10-0ubuntu1~20.04                      deb           
python3-minimal                                                                                                       3.8.2-0ubuntu2                             deb           
python3-pkg-resources                                                                                                 45.2.0-1                                   deb           
python3-requests                                                                                                      2.22.0-2ubuntu1                            deb           
python3-requests-unixsocket                                                                                           0.2.0-2                                    deb           
python3-setuptools                                                                                                    45.2.0-1                                   deb           
python3-six                                                                                                           1.14.0-2                                   deb           
python3-software-properties                                                                                           0.99.9.8                                   deb           
python3-urllib3                                                                                                       1.25.8-2ubuntu0.1                          deb           
python3-wheel                                                                                                         0.34.2-1                                   deb           
python3.8                                                                                                             3.8.10-0ubuntu1~20.04.4                    deb           
python3.8-dev                                                                                                         3.8.10-0ubuntu1~20.04.4                    deb           
python3.8-minimal                                                                                                     3.8.10-0ubuntu1~20.04.4                    deb           
quickstartgenerator                                                                                                                                              java-archive  
readline-common                                                                                                       8.0-4                                      deb           
requests                                                                                                              2.22.0                                     python        
requests-unixsocket                                                                                                   0.2.0                                      python        
rsc.io/binaryregexp                                                                                                   v0.2.0                                     go-module     
sed                                                                                                                   4.7-1                                      deb           
sensible-utils                                                                                                        0.0.12+nmu1                                deb           
servlet-api                                                                                                           3.1                                        java-archive  
setuptools                                                                                                            0.6c11                                     python        
setuptools                                                                                                            45.2.0                                     python        
shared-mime-info                                                                                                      1.15-1                                     deb           
sigs.k8s.io/cli-utils                                                                                                 v0.22.0                                    go-module     
sigs.k8s.io/cli-utils                                                                                                 v0.27.0                                    go-module     
sigs.k8s.io/cli-utils                                                                                                 v0.29.4                                    go-module     
sigs.k8s.io/controller-runtime                                                                                        v0.10.1                                    go-module     
sigs.k8s.io/controller-runtime                                                                                        v0.11.0                                    go-module     
sigs.k8s.io/controller-runtime                                                                                        v0.6.0                                     go-module     
sigs.k8s.io/json                                                                                                      v0.0.0-20211208200746-9f7c6b3444d2         go-module     
sigs.k8s.io/kind                                                                                                      v0.12.0                                    go-module     
sigs.k8s.io/kustomize/api                                                                                             v0.10.0                                    go-module     
sigs.k8s.io/kustomize/api                                                                                             v0.11.4                                    go-module     
sigs.k8s.io/kustomize/api                                                                                             v0.8.11                                    go-module     
sigs.k8s.io/kustomize/cmd/config                                                                                      v0.10.1                                    go-module     
sigs.k8s.io/kustomize/kustomize/v4                                                                                    (devel)                                    go-module     
sigs.k8s.io/kustomize/kyaml                                                                                           v0.0.5                                     go-module     
sigs.k8s.io/kustomize/kyaml                                                                                           v0.10.17                                   go-module     
sigs.k8s.io/kustomize/kyaml                                                                                           v0.12.0                                    go-module     
sigs.k8s.io/kustomize/kyaml                                                                                           v0.13.1-0.20211203194734-cd2c6a1ad117      go-module     
sigs.k8s.io/kustomize/kyaml                                                                                           v0.13.7-0.20220418212550-9d5491c2e20c      go-module     
sigs.k8s.io/structured-merge-diff/v3                                                                                  v3.0.0                                     go-module     
sigs.k8s.io/structured-merge-diff/v4                                                                                  v4.1.2                                     go-module     
sigs.k8s.io/structured-merge-diff/v4                                                                                  v4.2.1                                     go-module     
sigs.k8s.io/yaml                                                                                                      v1.2.0                                     go-module     
sigs.k8s.io/yaml                                                                                                      v1.3.0                                     go-module     
six                                                                                                                   1.12.0                                     python        
six                                                                                                                   1.14.0                                     python        
slf4j-api                                                                                                             1.6.4                                      java-archive  
snappy-java                                                                                                           1.0.4.1                                    java-archive  
software-properties-common                                                                                            0.99.9.8                                   deb           
start                                                                                                                 9.4.45.v20220203                           java-archive  
systemd                                                                                                               245.4-4ubuntu3.17                          deb           
systemd-sysv                                                                                                          245.4-4ubuntu3.17                          deb           
systemd-timesyncd                                                                                                     245.4-4ubuntu3.17                          deb           
sysvinit-utils                                                                                                        2.96-2.1ubuntu1                            deb           
taglibs-standard-impl                                                                                                 1.2.5                                      java-archive  
taglibs-standard-spec                                                                                                 1.2.5                                      java-archive  
tar                                                                                                                   1.30+dfsg-7ubuntu0.20.04.2                 deb           
threetenbp                                                                                                            1.3.3                                      java-archive  
tzdata                                                                                                                2022a-0ubuntu0.20.04                       deb           
ubuntu-keyring                                                                                                        2020.02.11.4                               deb           
ucf                                                                                                                   3.0038+nmu1                                deb           
unattended-upgrades                                                                                                   0.1                                        python        
unattended-upgrades                                                                                                   2.3ubuntu0.1                               deb           
urllib3                                                                                                               1.25.8                                     python        
util-linux                                                                                                            2.34-0.1ubuntu9.3                          deb           
webapp2                                                                                                               2.3                                        python        
webapp2                                                                                                               2.5.1                                      python        
webapp2                                                                                                               2.5.2                                      python        
websocket-api                                                                                                         9.4.45.v20220203                           java-archive  
websocket-client                                                                                                      9.4.45.v20220203                           java-archive  
websocket-common                                                                                                      9.4.45.v20220203                           java-archive  
websocket-server                                                                                                      9.4.45.v20220203                           java-archive  
websocket-servlet                                                                                                     9.4.45.v20220203                           java-archive  
wget                                                                                                                  1.20.3-1ubuntu2                            deb           
wheel                                                                                                                 0.34.2                                     python        
wsgiref                                                                                                               0.1.2                                      python        
x11-common                                                                                                            1:7.7+19ubuntu14                           deb           
x11-utils                                                                                                             7.7+5                                      deb           
xauth                                                                                                                 1:1.1-0ubuntu1                             deb           
xdg-user-dirs                                                                                                         0.17-2ubuntu1                              deb           
xz-utils                                                                                                              5.2.4-1ubuntu1.1                           deb           
zlib1g                                                                                                                1:1.2.11.dfsg-2ubuntu1.3                   deb           
